#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:15
KmVS++Yl%(	JPCARDS	English Profile Vocabulary::A1	he	vocab_1_he	JPCARDS	pronoun		/hiː/		used to refer to a man, boy or male animal that has already been mentioned	Don't ask Andrew, he won't know.<br>There's no need to be frightened - he's a very friendly dog.	He is from Hungary. (Skills for Life (Entry 1); A1; Slovak)		A1
mIq?KZ~.i(	JPCARDS	English Profile Vocabulary::A1	food	vocab_21_food	JPCARDS	noun : C or U		/fuːd/		something that people and animals eat, or plants absorb, to keep them alive	baby food<br>Thai food<br>to cook/prepare food<br>There was lots of food at the party.	I'd like to eat Italian food, maybe lasagne. (Skills for Life (Entry 1); A1; Polish)		A1
u2m5ml-Jo=	JPCARDS	English Profile Vocabulary::A1	cat	vocab_22_cat	JPCARDS	noun : C		/kæt/		a small animal with fur, four legs and a tail that is kept as a pet	I saw that orange cat today.	We have two dogs, [a] cat and lots of birds. (Skills for Life (Entry 1); A1; Polish)		A1
uuJk,j:o{M	JPCARDS	English Profile Vocabulary::A1	answer	vocab_23_answer	JPCARDS	verb		/ˈɑːnt.sər/		to speak or write back to someone who has asked you a question	You haven't answered my question.<br>I wrote asking whether he'd be coming to the party but he hasn't answered yet.<br>She answered that she wouldn't be able to come before nine o'clock.	My teacher give[s] m[e] questions and I have to answer. (Skills for Life (Entry 1); A1; Pashto)		A1
"hF#n;f2I~0"	JPCARDS	English Profile Vocabulary::A1	into	vocab_24_into	JPCARDS	preposition		/ˈɪn.tuː/		towards the inside or middle of something	He's gone into a shop across the road.<br>Shall we go into the garden?<br>Stop running around and get into bed!	I will sweep the floor and clean around my bed, [and] put the waste into the bin. (Key English Test; A2; Thai)		A1
BXglu50j^|	JPCARDS	English Profile Vocabulary::A1	tomato	vocab_25_tomato	JPCARDS	noun : C or U		/təˈmɑː.təʊ/		a soft, round, red fruit eaten in salad or as a vegetable	a cheese and tomato sandwich	I like salad - tomatoes, carrots, cucumbers, swe[e]tcorn. (Skills for Life (Entry 1); A1; Polish)		A1
QL@H*j:tb}	JPCARDS	English Profile Vocabulary::A1	below	vocab_26_below	JPCARDS	adverb		/bɪˈləʊ/		in a lower position than someone or something else	From the top of the skyscraper the cars below us looked like insects.<br>Send your answers to the address below.	I think it's a nice place, because you have a great view of the other mountains and the country below you. (Key English Test; A2; German)		A1
fe{LkTk@/?	JPCARDS	English Profile Vocabulary::A1	ten	vocab_27_ten	JPCARDS	number		/ten/		the number 10	I've invited ten people.<br>They met ten years ago.	This is only ten minutes [away] by car. (Skills for Life (Entry 1); A1; Slovak)		A1
D@q^^>sV3r	JPCARDS	English Profile Vocabulary::A1	sheep	vocab_28_sheep	JPCARDS	noun : C		/ʃiːp/		a farm animal whose skin is covered with wool	This cheese is made from sheep's milk.<br>The farmer has several long-haired sheep.	Scotland is a beautiful country, there are a lot of loch[s] and sheep. (Key English Test; A2; French)		A1
t.x:T<_:Q]	JPCARDS	English Profile Vocabulary::A1	I	vocab_29_I	JPCARDS	pronoun		/aɪ/		used when the person speaking or writing is the subject of the verb	I love you.<br>Did I tell you about my holiday?<br>I'm not late, am I?<br>I'd like a coffee.	I don't understand much English. (Skills for Life (Entry 1); A1; Lithuanian)		A1
Q0|/_.~[j@	JPCARDS	English Profile Vocabulary::A1	box	vocab_30_box	JPCARDS	noun : C		/bɒks/		a square or rectangular container	a cardboard box<br>a box of chocolates	I got clothes and a box of chocolates. (Key English Test; A2; Portuguese)		A1
p)%%7`X`ai	JPCARDS	English Profile Vocabulary::A1	coat	vocab_31_coat	JPCARDS	noun : C		/kəʊt/		an outer piece of clothing with sleeves which is worn over other clothes, usually for warmth	a warm winter coat<br>Do your coat up, Joe, or you'll freeze.	Dear Mary, I've left my new coat in your house. (Key English Test; A2; Spanish)		A1
C*)9UE_a@{	JPCARDS	English Profile Vocabulary::A1	party	vocab_32_party	JPCARDS	noun : C		/ˈpɑː.ti/		a social event where people enjoy themselves by talking, eating, drinking, and dancing	a birthday party<br>We're having a party to celebrate Jack's new job.<br>Peter gives/throws really wild parties.	I have the [sp]ace to invite my friends to [a] party. (Skills for Life (Entry 1); A1; French)		A1
p1SY7OG+4M	JPCARDS	English Profile Vocabulary::A1	every	vocab_33_every	JPCARDS	determiner		/ˈev.ri/		used to show that something is repeated regularly	He goes to Ireland every summer.<br>Computers can perform millions of calculations every second.<br>Every four minutes a car is stolen in this city.<br>Every few kilometres we passed a burnt out truck at the side of the road.<br>The conference takes place every other/second year.	She cooks every afternoon. (Skills for Life (Entry 1); A1; French)		A1
mmVz2T{R^y	JPCARDS	English Profile Vocabulary::A1	fourteen	vocab_34_fourteen	JPCARDS	number		/ˌfɔːˈtiːn/		the number 14	twelve, thirteen, fourteen, fifteen<br>Her baby is fourteen months old.	Several days ago I had my birthday and I am now fourteen. (Key English Test; A2; French)		A1
nxlhRhv(Vg	JPCARDS	English Profile Vocabulary::A1	hello	vocab_35_hello	JPCARDS	exclamation		/helˈəʊ/		used to greet someone	Hello, Paul. I haven't seen you for ages.<br>I just thought I'd call by and say hello.	Hello Fatima, how are you? (Skills for Life (Entry 2); A2; Slovak)		A1
JD)]CPPL]]	JPCARDS	English Profile Vocabulary::A1	be	vocab_36_be	JPCARDS	verb		/biː/		used to say that someone or something exists	There are six Italians in the class.<br>There are three bedrooms.<br>There's a shop at the end of the road.<br>There was a good programme on TV last night.<br>Is there a problem?	There are many interesting things. (Skills for Life (Entry 1); A1; Polish)		A1
PEYm?f+%A~	JPCARDS	English Profile Vocabulary::A1	body	vocab_37_body	JPCARDS	noun : C		/ˈbɒd.i/		the whole physical structure that forms a person or animal	A good diet and plenty of exercise will help you to keep your body healthy.<br>She rubbed sun lotion over her entire body.	I think swimming is good for my body. (Key English Test; A2; Chinese)		A1
njDDqT]62]	JPCARDS	English Profile Vocabulary::A1	taxi	vocab_38_taxi	JPCARDS	noun : C		/ˈtæk.si/		a car with a driver who you pay to take you somewhere	I took a taxi from the station to the hotel.<br>a taxi driver	You can go there by bus, taxi or by light rail transit (LRT). (Key English Test; A2; Malay)		A1
yQ!>x9&`3~	JPCARDS	English Profile Vocabulary::A1	who	vocab_39_who	JPCARDS	pronoun		/huː/		used to ask about someone's name or which person or group someone is talking about	Who told you?<br>Who's that?<br>Who are all those people?<br>Who's playing in the match this afternoon?	What did you do at the party? Who was there? (Key English Test; A2; Romanian)		A1
AV/hvI,Dx.	JPCARDS	English Profile Vocabulary::A1	inside	vocab_40_inside	JPCARDS	preposition		/ɪnˈsaɪd/		in or into a room, building, container, etc.	There were some keys inside the box.	I kept it inside the jewel box. (Key English Test; A2; Tamil)		A1
w=L5*mrXK	JPCARDS	English Profile Vocabulary::A1	note	vocab_41_note	JPCARDS	noun		/nəʊt/		a short letter	He left a note to say he would be home late.<br>Did you get my note?<br>There's a note pinned to the door saying when the shop will open again.	Hi Rie Thank you for your note to me! (Skills for Life (Entry 1); A1; Polish)		A1
FkLxymdYGQ	JPCARDS	English Profile Vocabulary::A1	sit	vocab_42_sit	JPCARDS	verb : I		/sɪt/		to be in a position with the weight of your body on your bottom and the top part of your body up, for example, on a chair	Emma was sitting on a stool.<br>The children sat at the table by the window.<br>We sat by the river and had a picnic.	[It] is so bor[ing], bec[a]use we just sit and listen to [the] teachers. (Skills for Life (Entry 1); A1; Slovak)		A1
"bjro;~95U#"	JPCARDS	English Profile Vocabulary::A1	yellow	vocab_43_yellow	JPCARDS	adjective		/ˈjel.əʊ/		being the same colour as a lemon or the sun	a bright yellow T-shirt<br>It was early autumn and the leaves were turning yellow.	The walls are yellow and the cupboard is orange. (Skills for Life (Entry 1); A1; Polish)		A1
NZnPAsg7=4	JPCARDS	English Profile Vocabulary::A1	five	vocab_44_five	JPCARDS	number		/faɪv/		the number 5	Five, four, three, two, one, blast-off!<br>I work five days a week.	I will finish work at five o'clock. (Skills for Life (Entry 1); A1; Polish)		A1
"A#yd(|AtvK"	JPCARDS	English Profile Vocabulary::A1	sport	vocab_45_sport	JPCARDS	noun		/spɔːt/		all types of physical activity which people do to keep healthy or for enjoyment	She used to do/play a lot of sport when she was younger.	Anna like[s] sport and cinema. (Skills for Life (Entry 1); A1; Polish)		A1
